JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
Data Scientist,Merkle Sokrati,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,Extract and process large quantities of data from data warehouses and other data marts in support of assignments.,
Data Scientist,Exapas jobs,"Pune, Maharashtra",Posted30 days ago,2022-02-06,A data scientist to work with an interest in solving in challenging problems.,
SR. Machine Learning-Consutant,VIRTUAL CONSTRUCTION SOLUTION jobs,"Remote in Nashik, Maharashtra",Posted30+ days ago,2022-02-06,Study and transform data science prototypes.,"₹15,000 a month"
Data Science Intern,+1 location,"Calicut, Kerala+1 location",Posted10 days ago,2022-02-06,"Urgent requirement for Data Science, Python, PHP, UI-UX, Manual Testing and Digital marketing interns for client projects.","₹10,000 - ₹15,000 a month"
Data Scientist - NLP,Almug Technologies Pvt Ltd jobs,"Temporarily Remote in Bengaluru, Karnataka",Posted9 days ago,2022-02-06,Working both independently and as part of a collaborative team to apply state of the art and innovative data analysis and AI/ML approaches in drug discovery.,"₹10,00,000 a year"
Data Scientist,Nao jobs,"Remote in Bengaluru, Karnataka",Posted30+ days ago,2022-02-06, Proficiency in Python and with data analytics libraries like pandas.,
Data & Analytics Developers,Infosys Limited,"Bengaluru, Karnataka",Posted15 days ago,2022-02-06,"Educational Requirements Master Of Technology,Master Of Engineering,Master Of Comp.",
Data Scientist – Data Products,Netradyne jobs,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,"Develop ML/statistical methods to aggregate data and arrive at more accurate predictions/detections (for example, minimizing effect of noise in the data).",
Application Support- Data Scientist,Vkraft Software Services jobs,"Hyderabad, Telangana",Posted13 days ago,2022-02-06,Acquire data from primary or secondary data sources and maintain databases/data systems.,"₹32,833 - ₹1,17,879 a month"
newData Scientist,Crowe,"Noida, Uttar Pradesh",Posted7 days ago,2022-02-06,A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.,
newSenior Data Scientist,Mercedes-Benz Group AG jobs,"Bengaluru, Karnataka",Posted4 days ago,2022-02-06,Have experience in handling data workflow and monitoring big data application.,
newCCO Data Analytics AVP,Barclays,"Pune, Maharashtra",Posted4 days ago,2022-02-06,Identifying the relevant data points for the issue at hand; understand and extract the required portions quickly through optimised querying of our data storage…,
Machine Learning Engineer,AGS Health,"Temporarily Remote in Ahmedabad, Gujarat",Posted17 days ago,2022-02-06,Experience with common data science toolkits.,"₹5,00,000 - ₹15,00,000 a year"
newData Scientist (Delivery),Zebra Technologies,"Bengaluru, Karnataka",Posted2 days ago,2022-02-06,OUnderstanding of data structures and data modeling.,
Data Science & ML Engineer,Markytics jobs,"Remote in Andheri, Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,Building a machine learning algorithm for Fintech startups and FMCG companies 2.,
newData Science ( 2 - 8 Yrs) - Remote,ProGrad jobs,Remote,Posted4 days ago,2022-02-06,Experience in Java/.NET/Bigdata/Python.,"₹8,00,000 - ₹20,00,000 a year"
Staff Data Scientist,Myntra.com,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,You will manage a team of 5-6 high performing scientists and enable them to deliver business impact through ML models.,
Data Scientist,Narayana Health,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Develop NLP algorithms to classify and summarize structured/unstructured text data.,
Data Scientist,Fractal.ai jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"Through its advanced analytics and data science capabilities it offers model training, scoring, monitoring, and validating, thus enabling power users of…",
Data & Applied Scientist II,Microsoft,"Hyderabad, Telangana+1 location",Posted25 days ago,2022-02-06,You will work closely with other data scientists and data engineers to deploy models that drive cloud infrastructure capacity planning.,
Data Scientist,Spearline India Pvt. Ltd jobs,"Ahmedabad, Gujarat",Posted25 days ago,2022-02-06,Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods.,"₹70,000 a month"
newData Scientist,Crowe,"Noida, Uttar Pradesh",Posted7 days ago,2022-02-06,A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.,
"Assistant Manager, Global Data Scientist",Unilever,"Mumbai, Maharashtra",Posted30+ days ago,2022-02-06,"Proficient in using R, Python or any other data mining tools.",
newData Scientist,Shell,"Chennai, Tamil Nadu",Posted4 days ago,2022-02-06,Assess data availability and modeling feasibility.,
CIB Data Scientist Associate,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Posted24 days ago,2022-02-06,"As a data scientist with the Wholesale Payments Data and Analytics team, you will be responsible for pulling data and creating dashboards for large clients…",
newData Scientist 2,PayPal,"Bengaluru, Karnataka+1 location",Posted5 days ago,2022-02-06, Use various data visualization tools/techniques to provide insights/learnings and design data tools for E2E team.,
Data Scientist,+1 location,"Mohali, Punjab+1 location",Posted18 days ago,2022-02-06,Critical thinking and problem-solving skills are essential for interpreting data.,
Data Scientist,Soroco,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,The ideal Data scientist will be able to solve complex unstructured problems using data-driven analysis and have a deep commitment to increase Soroco's revenue.,
newSenior Data Scientist,Hewlett Packard Enterprise,"Bengaluru, Karnataka",Posted4 days ago,2022-02-06,Experience analyzing and validating large data sets.,
ASSOCIATE DATA SCIENTIST,HGS,"Bengaluru, Karnataka",Posted10 days ago,2022-02-06,Experience with industry scale data mining and/or text mining.,
newData Scientist / ML Engineer,IceCream Labs jobs,"Remote in Bengaluru, Karnataka",Posted6 days ago,2022-02-06,Experience working with real world problems and data is required.,
Data Scientist / Sr. Data Scientist,Bosch Group,"Bengaluru, Karnataka",Posted30+ days ago,2022-02-06,Proven track record and experience with statistical modeling/data mining algorithms such as.,
Analyst -Tech CoE- Data Scientist,Deloitte,"Gurgaon, Haryana",Posted18 days ago,2022-02-06,Work with fellow data scientists to help meet new data needs for advanced analytics.,
Sr. Data Scientist - Deep Learning,GE Healthcare,"Bengaluru, Karnataka",Posted9 days ago,2022-02-06,Working knowledge of waveform/timeseries data and 2D/3D image data.,
Data Scientist,Fractal.ai jobs,"Pune, Maharashtra",Posted30+ days ago,2022-02-06,"Through its advanced analytics and data science capabilities it offers model training, scoring, monitoring, and validating, thus enabling power users of…",
newSenior Data & Applied Scientist,Microsoft,"Bengaluru, Karnataka+1 location",Posted3 days ago,2022-02-06,"Good organizational, analytical, data science skills and intuition.",
